well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H',measured_S',measured_V',output
1,0.3,0.0,0.7,0.0,0.32,0.44,0.98,0.4063261506503243
2,0.5,0.25,0.25,0.0,0.04,0.98,0.86,0.41658688986513565
3,0.5,0.2,0.3,0.0,0.02,0.81,0.71,0.21920216059004619
4,0.1,0.1,0.8,0.0,0.68,0.15,0.58,0.6060975809395442
5,0.3,0.05,0.65,0.0,0.09,0.83,0.89,0.2990521384525138
6,0.5,0.1,0.4,0.0,0.75,0.92,0.36,0.5672924325028998
7,0.35,0.2,0.45,0.0,0.36,0.51,0.51,0.35745051857213067
8,0.65,0.05,0.3,0.0,0.32,0.1,0.63,0.5633912733860728
9,0.6,0.2,0.2,0.0,0.1,0.89,0.73,0.2962491749047242
10,0.45,0.2,0.35,0.0,0.51,0.68,0.53,0.4813659001627278
11,0.15,0.3,0.55,0.0,0.85,0.04,0.94,0.6479738574866838
12,0.55,0.2,0.25,0.0,0.82,0.15,0.64,0.515857459387291
13,0.3,0.1,0.6,0.0,0.81,0.96,0.47,0.4995043401757085
14,0.65,0.2,0.15,0.0,0.81,0.02,0.25,0.7764526228182155
15,0.45,0.25,0.3,0.0,0.36,0.64,0.7,0.29137691344005284
16,0.5,0.3,0.2,0.0,0.54,0.93,0.56,0.5961214200331708
17,0.2,0.15,0.65,0.0,0.91,0.29,0.02,0.764822152128966
18,0.45,0.3,0.25,0.0,0.22,0.3,0.01,0.7712384786387086
19,0.6,0.15,0.25,0.0,0.59,0.78,0.36,0.6141042924183038
20,0.35,0.0,0.65,0.0,0.82,0.52,0.04,0.7080926001235338
21,0.55,0.15,0.3,0.0,0.09,0.85,0.34,0.43783267941941856
22,0.5,0.15,0.35,0.0,0.72,0.62,0.46,0.42177857225936766
23,0.4,0.3,0.3,0.0,0.36,0.15,0.18,0.745525088717625
Target,,,,,0.06944444444444445,0.6,0.7,
