well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_R',measured_G',measured_B',output
1,0.3,0.0,0.7,0.0,0.79,1.0,1.0,0.3713373478817598
2,0.5,0.25,0.25,0.0,1.0,0.96,0.58,0.12151826840247752
3,0.5,0.2,0.3,0.0,1.0,0.96,0.6,0.0962961034338904
4,0.1,0.1,0.8,0.0,0.58,1.0,0.98,0.5093092358150889
5,0.3,0.05,0.65,0.0,0.78,1.0,0.95,0.3389251934807722
6,0.5,0.15,0.35,0.0,0.99,0.94,0.7,0.05751556559771298
7,0.55,0.25,0.2,0.0,1.0,0.97,0.66,0.04355264778671085
8,0.5,0.1,0.4,0.0,0.92,0.91,0.73,0.12593921503689443
9,0.55,0.3,0.15,0.0,1.0,0.95,0.57,0.1360086098182524
10,0.55,0.15,0.3,0.0,1.0,0.96,0.74,0.06509443698965053
11,0.6,0.25,0.15,0.0,1.0,0.97,0.68,0.026670994155964
12,0.6,0.3,0.1,0.0,1.0,0.88,0.53,0.20637861894381418
13,0.55,0.3,0.15,0.0,1.0,0.98,0.67,0.028353662905530055
14,0.6,0.25,0.15,0.0,1.0,0.98,0.69,0.019795721684655446
15,0.6,0.3,0.1,0.0,1.0,0.99,0.7,0.013049790951276376
16,0.6,0.3,0.1,0.0,1.0,0.92,0.6,0.11822497720437969
17,0.65,0.3,0.05,0.0,1.0,0.97,0.65,0.049293279655331916
18,0.6,0.35,0.05,0.0,1.0,0.97,0.63,0.06719319548956658
19,0.6,0.3,0.1,0.0,1.0,0.98,0.66,0.04247887355024925
20,0.55,0.35,0.1,0.0,1.0,0.93,0.5,0.1998395224631529
21,0.6,0.35,0.05,0.0,1.0,0.94,0.6,0.10705545935550248
22,0.6,0.35,0.05,0.0,1.0,0.94,0.65,0.07335945989724572
23,0.5,0.3,0.2,0.0,1.0,1.0,0.73,0.037937034684239375
Target,,,,,0.9991721132897604,0.9998518518518518,0.6916416122004357,
