channel,channel_type,norm_std,coef_v_R,coef_v_Y,coef_v_B,max_abs_coef
B',normalized,0.022910572706955505,-0.3293948456223292,-0.30480620531245695,0.6342010509347862,0.6342010509347862
C',normalized,0.05165811871526431,0.4438335090194496,0.16148839818653143,-0.6053219072059811,0.6053219072059811
G',normalized,0.027109531404207448,-0.6431738079978028,0.21046595214342062,0.43270785585438215,0.6431738079978028
H',normalized,0.008540954507205007,-0.4420142009140066,-0.1785308272477788,0.6205450281617855,0.6205450281617855
HSV_H,raw,0.000871875,-0.4420143313446136,-0.1785306832345103,0.620545014579124,0.620545014579124
HSV_S,raw,0.0035575,0.37444664974588093,0.19010490045524903,-0.56455155020113,0.56455155020113
HSV_V,raw,0.0015279166666666666,0.4074563204908565,0.17024587525468965,-0.5777021957455462,0.5777021957455462
L',normalized,0.04068048747888808,-0.5128023358811631,0.4848376935794638,0.027964642301699403,0.5128023358811631
LAB_A,raw,0.0017218954248366012,0.6322247842973595,-0.1557254217760803,-0.47649936252127933,0.6322247842973595
LAB_B,raw,0.0012045751633986928,0.23337211831327823,0.40701101256128325,-0.6403831308745617,0.6403831308745617
LAB_L,raw,0.0007075,-0.5127993185515428,0.484841862152244,0.027957456399298964,0.5127993185515428
R',normalized,0.041912635122875144,0.5432991639021977,0.034337686181431126,-0.5776368500836289,0.5776368500836289
RGB_B,raw,0.004425163398692811,-0.3710057581687421,-0.22175158377594673,0.5927573419446889,0.5927573419446889
RGB_G,raw,0.002918137254901961,-0.6344792343644116,0.36934853998117395,0.2651306943832377,0.6344792343644116
RGB_R,raw,0.006363562091503268,0.38419843007156235,0.26805569964347153,-0.652254129715034,0.652254129715034
S',normalized,0.08225097851968952,0.3744445179336185,0.1901069995754247,-0.5645515175090433,0.5645515175090433
V',normalized,0.03477461181069168,0.4074502656878367,0.1702505561779773,-0.5777008218658141,0.5777008218658141
h',normalized,0.012469361176905686,-0.5078299070543032,-0.08892721954665223,0.5967571266009556,0.5967571266009556
