channel,channel_type,R2_v_R,R2_v_Y,R2_v_B,R2_aggregate
RGB_R,raw,0.4086013758393351,0.06629361960366376,0.8040616048032216,0.8526377334974802
RGB_G,raw,0.9703941013337669,0.24065288722724754,0.24455199688384865,0.9703993236299088
RGB_B,raw,0.21034093037589952,0.1891982781541116,0.7985186157803308,0.7987052162068948
LAB_L,raw,0.9058739456088953,0.2955716525197717,0.1665530257749428,0.9119990826024067
LAB_A,raw,0.9515646897340304,0.16158217137365205,0.32891248601380785,0.9613728980809934
LAB_B,raw,0.06557015438683544,0.4162956262010211,0.8122992442719403,0.8627766832398645
HSV_H,raw,0.46260787254342317,0.03154132712588509,0.735737827207128,0.8199246845842908
HSV_S,raw,0.2235366620556184,0.19348066825778265,0.8329501265900838,0.8333116379356567
HSV_V,raw,0.37045128057716725,0.002070856120996778,0.3171271440755665,0.45976618718248674
R',normalized,0.8099167464798268,0.008626776047618079,0.6513673233949486,0.9799405639482625
G',normalized,0.9324981999447507,0.2625230495604949,0.20547130905925048,0.9336617057096641
B',normalized,0.2089381920126011,0.21507339292963656,0.8479787811672946,0.8479935774063547
L',normalized,0.9058727250823186,0.29557142260899594,0.1665526750135875,0.9119978818032679
C',normalized,0.2878764519499516,0.18585737426504945,0.9363522930844358,0.9400574128662911
h',normalized,0.5426753376819109,0.0026863161195362917,0.6217238828755054,0.7780570244513018
H',normalized,0.46260796968139684,0.03154136882955061,0.7357381511261867,0.8199249930914225
S',normalized,0.22353640957190746,0.19348044972218892,0.8329491857764518,0.833310696713699
V',normalized,0.3704642626888798,0.0020722600624019094,0.3171217847796104,0.45977220502059435
