channel,channel_type,norm_std,coef_v_R,coef_v_Y,coef_v_B,coef_l2_contrast,partial_r2_v_R,partial_r2_v_Y,differentiation_metric
B',normalized,0.0421442734899778,-0.3386033146886736,-0.3776150782428579,0.7162183929315316,0.8776184469391822,0.11034189980567564,0.13363879763933198,0.8776184469391822
C',normalized,0.0361059272280676,0.12787104179956882,0.5568565212813745,-0.6847275630809433,0.8917914690482681,0.019891858008627278,0.2779241964658148,0.8917914690482681
G',normalized,0.03432267454936726,-0.8722693030494034,-0.6747064410191326,1.5469757440685359,1.8997937970557215,0.8021608912529362,0.708108267987299,1.8997937970557215
H',normalized,0.010072347082463951,-0.86613583503593,-0.776325745522497,1.642461580558427,2.0125985669042237,0.8867674136185227,0.8628540246937754,2.0125985669042237
HSV_H,raw,0.0006199074074074073,-0.8661351786254343,-0.7763249269998033,1.6424601056252377,2.0125967650039165,0.8867653691390214,0.8628515450488221,2.0125967650039165
HSV_S,raw,0.0017212500000000001,0.29031603320348914,0.6994420641437961,-0.9897580973472853,1.2462438330813363,0.11876153276012506,0.4389104832285792,1.2462438330813363
HSV_V,raw,0.00148375,0.6980884739664741,0.6464479937771663,-1.3445364677436404,1.6471189511495243,0.5281705501875882,0.4897752921328434,1.6471189511495243
L',normalized,0.022942779364474423,0.19470347173590785,0.8359193853753775,-1.0306228571112852,1.341213679602394,0.08399583484937509,0.6282823654487314,1.341213679602394
LAB_A,raw,0.0012055555555555556,0.9753414802119611,0.6357565504586208,-1.6110980306705818,1.9877409939184056,0.9456269128498213,0.8808007444496008,1.9877409939184056
LAB_B,raw,0.0006397058823529412,0.48521647017300806,1.0082093987707605,-1.4934258689437687,1.8660766438512923,0.7582260754291958,0.9312243574935162,1.8660766438512923
LAB_L,raw,0.0006416666666666667,0.194700934692412,0.8359136844930078,-1.0306146191854197,1.3412034279599359,0.08399207801561,0.6282738625925951,1.3412034279599359
R',normalized,0.04581876239329471,0.9152384883545672,0.7575398614581327,-1.6727783498126998,2.051759133004081,0.9485560414181334,0.9266430246403388,2.051759133004081
RGB_B,raw,0.004065849673202614,-0.2813846196813854,-0.7104356387517736,0.991820258433159,1.2520397461903103,0.11464190396619783,0.45217984566960095,1.2520397461903103
RGB_G,raw,0.002322875816993464,-0.5060895437717028,0.42950829187292106,0.07658125189878173,0.6681831240348931,0.35403192257640287,0.28302451249336114,0.6681831240348931
RGB_R,raw,0.005339705882352942,0.8213370315898664,0.8866233935842248,-1.7079604251740912,2.092325112278807,0.9770156040707976,0.9802113682870289,2.092325112278807
S',normalized,0.046841832609201585,0.29031111949728106,0.6994476329165058,-0.9897587524137869,1.246246334107332,0.11875913676146199,0.43891710303920684,1.246246334107332
V',normalized,0.030950537228321216,0.698087075239824,0.6464382439996122,-1.3445253192394362,1.6471054313546847,0.5281634472105982,0.489761632997151,1.6471054313546847
h',normalized,0.010233758443468086,-0.960319339157529,-0.6745802810191137,1.6348996201766428,2.0125030575761893,0.9480366451945582,0.9000251485442724,2.0125030575761893
