well,yellow_vol,blue_vol,water_vol,Red,Green,Blue
0,0.0,0.0,1.0,254.317,252.3775,254.972
1,0.0,0.17,0.83,233.1534,245.5094,252.3271
2,0.0,0.33,0.6699999999999999,206.7923,239.8398,249.6809
3,0.0,0.5,0.5,198.8972,254.914,254.672
4,0.1,0.0,0.9,253.8792,250.2076,246.7204
5,0.1,0.17,0.73,211.973,227.3297,209.4265
6,0.1,0.33,0.57,184.9739,226.7669,209.3354
7,0.1,0.5,0.4,194.6726,254.9009,241.2786
8,0.2,0.0,0.8,254.6174,247.5111,235.7602
9,0.2,0.17,0.63,220.7695,226.9577,189.5791
10,0.2,0.33,0.47,192.0802,227.8092,184.3949
11,0.2,0.5,0.30000000000000004,194.4422,254.4199,221.3001
12,0.3,0.0,0.7,254.2697,248.3618,214.8738
13,0.3,0.17,0.53,215.7918,225.2411,162.6086
14,0.3,0.33,0.37,187.7697,227.9865,152.8952
15,0.3,0.5,0.19999999999999996,203.2003,254.8758,192.4694
16,0.4,0.0,0.6,254.6287,254.9713,209.3535
17,0.4,0.17,0.42999999999999994,231.1238,238.075,162.2345
18,0.4,0.33,0.27,198.0663,240.303,149.2423
19,0.4,0.5,0.09999999999999998,207.7129,254.8376,180.4707
20,0.5,0.0,0.5,253.5988,243.546,150.5626
21,0.5,0.17,0.32999999999999996,227.1671,238.0852,121.9024
22,0.5,0.33,0.16999999999999993,205.0378,239.5198,105.1327
23,0.5,0.5,0.0,202.0127,254.7621,132.577
